question,option1,option2,option3,option4,correct_option
What is the capital of France?,Paris,Lyon,Marseille,Nice,1
Which planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,3
What is the largest ocean on Earth?,Indian,Pacific,Atlantic,Arctic,2
What is the capital of Japan?,Beijing,Tokyo,Seoul,Bangkok,2
Who wrote 'Hamlet'?,William Shakespeare,Charles Dickens,Mark Twain,Leo Tolstoy,1
What is the smallest country in the world?,Monaco,San Marino,Vatican City,Liechtenstein,3
Which is the largest planet in our solar system?,Earth,Mars,Saturn,Jupiter,4
What is the boiling point of water?,90째C,100째C,110째C,120째C,2
Which element has the chemical symbol 'O'?,Osmium,Oxide,Oxygen,Ozone,3
Who was the first President of the United States?,Abraham Lincoln,George Washington,Thomas Jefferson,John Adams,2
